,Country Name,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
13,Azerbaijan,AZE,92.47360267,93.0527272,93.62489822,94.18537464,94.72914458,95.25106347,95.74630733,96.20987663,96.60495108,94.45029311,97.81641731,97.60385812,100,98.14949352,98.41482234,98.68783867,99,99.28658521,99.58736888,99.82209111,99.95059359,99.9,99.99989708,100,100,100,100,NaN
14,"Bahamas, The",BHS,82.02916466,83.34839824,84.69108117,86.04704966,87.40595549,88.75522343,90.08269973,91.37587796,92.62067749,93.80354083,94.91651664,96.065547,96.97014783,97.93931788,98.89765803,99.86622971,100,100,100,100,100,100,100,100,100,100,100,NaN
15,Bahrain,BHR,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NaN
16,Bangladesh,BGD,NaN,4.57,3.161904548,1.753809096,10.4,6.760986904,9.258692186,15.1,14.22777995,16.69140563,20.5,21.49087852,23.73337934,25.97964606,30.4,31.19,38.84531839,36.6,37.565392,40.00246009,42.49,49.3,47.57029154,54.2,51.4,55.53002068,68.85,NaN
17,Barbados,BRB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NaN
18,Belarus,BLR,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NaN
19,Belgium,BEL,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NaN
20,Belize,BLZ,78.70014522,79.22228675,79.66883606,80.11170906,80.54558997,80.96530245,81.3664539,81.74357606,82.09245568,82.40719622,82.69838489,83.03509274,83.34616074,83.64152243,83.92995264,84.22001323,82.78301887,84.84236737,85.1897795,85.56119701,83.03992065,87.22271517,86.76628358,87.18143458,87.59755373,87.5,88.42008657,NaN
21,Benin,BEN,NaN,NaN,NaN,NaN,NaN,0.254705986,2,2.287615284,3.259289859,4.193782103,5.088340299,5.5,6.785776875,7.597137468,8.391284459,9.176482515,8.5,10.75077684,11.55272836,12.36557626,13.9,12.4,14.5,15.62903588,13.7,17.2087338,17.96980021,NaN
22,Bermuda,BMU,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23,Bhutan,BTN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.331152102,4.84060527,9.398871071,14.01238397,18.69644892,23.46560326,24.5,33.3262095,43.67796456,44.1397291,60.3,55.83836835,61.915056,62.42757822,74.54849893,87.3,87.98055966,95.04443667,97.43246373,100,NaN
24,Bolivia,BOL,10.39366744,11.55905018,11.54387196,11.78369036,26.5,18.89662012,34.7,24.548142,29,25.682709,24.932479,28.396318,22.961077,35.7,40.61901736,28.89604,44.017947,46.562379,56.135089,63.500866,57.95019996,66.622957,72.458314,69.338595,71.474067,74.953562,79.14502382,NaN
25,Bosnia and Herzegovina,BIH,96.16500506,96.45706444,96.75657926,97.05169849,97.33794977,97.6109414,97.84739091,98.07703352,98.28073355,98.45577956,98.60232394,99.59511495,97.7,98.92053252,99.01121408,99.10768904,99.18746373,99.7695964,99.50092525,99.66743008,99.82101265,99.67213115,99.98234615,99.99794177,100,100,100,NaN
26,Botswana,BWA,0.242938939,2,2.906021705,4.54917755,6.154907284,7.717320565,9.22926022,10.68437702,12.07353641,13.38912796,14.62430615,8.1,17.18100185,18.59673251,19.99743064,21.39481366,22.79684916,24.21432616,42.9,27.11749245,28.59768023,23.87,31.58905535,33.08583883,34.57183386,36.04331683,37.49454344,NaN
27,Brazil,BRA,55.415374,65.23925031,54.332727,57.204498,68.20336489,62.915861,66.942201,68.817801,72.778247,75.436121,74.90416107,77.62953,80.181746,81.921384,81.507163,83.469462,86.071277,89.070615,91.398435,93.332725,93.76268355,95.784948,97.022847,97.294009,97.839087,98.242607,100,NaN
28,British Virgin Islands,VGB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29,Brunei Darussalam,BRN,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NaN
30,Bulgaria,BGR,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NaN
31,Burkina Faso,BFA,NaN,NaN,NaN,0.6,0.417647299,0.894079303,1.349975951,1.702182985,1.950675768,0.2,2.298009295,2.397912312,2.453324494,0.8,2.451606628,2.404838187,2.33310867,2.241313531,2.142859199,2.0357667,1.4,1.783640534,1.630584358,1.455616189,3,1.025499865,0.765470963,NaN
32,Burundi,BDI,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.9,0.919856337,0.939712673,0.95956901,0.979425346,0.999281683,1.019138019,1.038994356,1.092662904,1.146331452,1.2,0.097272528,1,0.499777044,1.2,0.948072708,2,1.417148343,1.65223552,NaN
33,Cabo Verde,CPV,NaN,2.051709903,4.570066939,7.146174549,9.775003435,12.45557552,15.18623767,17.97142988,20.80318592,23.68409897,26.61575427,29.68974069,30.80628,36.05984927,39.38605406,44,46.40531065,50.13273589,54.0251331,58.09412644,65.8,66.78009192,71.41320679,76.23807454,81.25119979,86.44994333,91.83029239,NaN
34,Cambodia,KHM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.29,3.390308136,9,7.179445059,9.045327758,7.724589221,12.75346333,12.6,16.47412228,18.35627858,13.1,22.17643143,18.8,26.02844655,27.95604441,29.8805623,49.2,34.12568536,36.46278943,NaN
35,Cameroon,CMR,5.487004556,8.7,7.075268761,7.85814746,8.624570548,9.371701008,10.09329601,10.78738516,22,12.06322857,21,18.51273,13.67778254,14.16101747,15.5,15.09427906,14,23.4,16.56236227,17.10058023,17.65882177,18.5,18.82843157,19.43197269,22.2,20.65606142,21.27039727,NaN
36,Canada,CAN,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NaN
37,Cayman Islands,CYM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
38,Central African Republic,CAF,NaN,NaN,NaN,NaN,NaN,0.3,0.17217223,0.04434446,0.162415955,0.247469865,0.7,0.31814213,0.317350923,0.303151957,0.283550454,0.260763698,1.114461781,0.234177724,0.242466064,0.263750269,1.7,0.32579575,0.356717797,0.38091429,0.393805815,0.389227244,0.363603775,NaN
39,Chad,TCD,0.01,0.022857143,0.035714286,0.048571429,0.061428571,0.074285714,0.087142857,0.1,0.289662997,0.413470421,0.509172678,0.581940967,0.638889359,0.686639869,0.3,0.782833688,0.845211503,0.926159778,1.031419271,1.159148294,3.1,1.45418173,1.613427431,1.774769767,1.934457284,0.7,2.23271716,NaN
40,Channel Islands,CHI,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NaN
41,Chile,CHL,62.892651,69.49582387,70.328551,72.38936749,73.74222416,75.11589569,74.767206,77.86983102,82.314483,80.51574669,86.572004,82.94025372,84.11023785,92.810743,86.51376933,87.87060123,96.410445,90.83089406,92.51159042,97.80333,96.24377725,97.781241,99.27041828,98,100,98.633515,100,NaN
42,China,CHN,89.68407845,90.151001,90.62502321,91.10377139,91.58340717,92.06063838,92.53156101,92.99295376,93.44023147,93.86917876,94.14239353,94.65396135,95.01747432,95.38418397,95.7631229,96.16436411,96.62545706,97.12061998,97.68085751,98.30867432,98,99.49162581,99.82619741,99.96394805,99.99668651,100,100,NaN
43,Colombia,COL,71,73.65000312,74.34563653,75.05976627,75.88041274,73.6,77.59184029,78.41889011,79.21575099,79.97058249,83.8,81.34487147,81.9901913,82.62664017,83.26816994,89.2,84.63079096,85.38519809,87.470664,84.540784,86.84958,86.35929,87.858058,90.52792,90.499782,92.455997,95.72580944,NaN
44,Comoros,COM,3.008954433,5.460459167,8.176605047,10.95664006,13.72710522,16.48526568,19.6,21.94646137,24.64292309,27.31078183,29.94842927,32.56148423,32.5,37.74364188,40.32692754,42.90922059,45.49909842,48.10355761,50.72904122,53.37431371,56.03606026,58.71200395,61.4,64.09260936,66.79169892,69.49245521,72.19287107,NaN
45,"Congo, Dem. Rep.",COD,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1.014285714,1.028571429,1.042857143,1.057142857,1.071428571,1.085714286,1.1,1.08,1.06,1.04,1.02,1,0.7,0.4,NaN,NaN,NaN
46,"Congo, Rep.",COG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.050860209,2.6530447,14.8,5.844841578,7.455340074,9.091467521,9.4,12.42722708,14.11891325,11.7,17.52609442,19.23297764,22.7,22.62535798,NaN
47,Costa Rica,CRI,94.94941484,95.18023748,95.41881554,95.66050013,95.88377451,96.10603898,96.31012744,96.48904342,96.63759744,96.75539958,96.84453004,95.769373,96.46564,96.89876,97.58591,97.801975,97.964446,98.166312,98.282766,98.641978,97.734454,97.986184,98.690151,98.921142,98.414246,98.641978,100,NaN
48,Cote d'Ivoire,CIV,13.57281971,14.57185459,15.57035542,16.56565094,13.7,18.53380966,19.50026321,20.45069313,21.38189316,22.5,23.1861496,24.06979561,24.9492054,25.83045006,26.71959496,37,28.54584694,29.49345779,30.46343994,31.45206261,32.45560074,33.47032547,29,35.51841354,36.54494476,29.99011916,38.1,NaN
49,Croatia,HRV,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NaN
50,Cuba,CUB,75.97107798,77.10567093,78.38996557,79.67979805,80.96523785,82.2372442,83.48733699,84.68026845,85.80979631,86.8983453,87.9,89.04953828,90.21753162,91.48779709,92.84857368,94.25273202,95.70818,97.171389,98.47528573,99.39276589,99.84573647,99.98160646,100,100,100,100,100,NaN
51,Curacao,CUW,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NaN
52,Cyprus,CYP,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NaN
53,Czech Republic,CZE,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NaN
54,Denmark,DNK,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NaN
55,Djibouti,DJI,87.78118642,84.96645569,81.96550417,78.93946899,75.88113405,72.7784487,11.1,66.40477231,63.1131974,59.73874416,56.27558066,52.73547305,10.2,45.48990188,41.81737999,38.13466498,9.9,30.80162591,27.18182837,23.59619108,20.02329576,16.45629386,4.372199059,9.290253599,5.669879667,2.013218398,NaN,NaN
56,Dominica,DMA,66.03043365,67.54698181,69.06302643,70.57600403,72.08286285,73.58055115,75.06600189,76.5361557,75,79.41833496,80.82576752,82.21479034,87.7,84.96186066,86.33203125,87.70803833,89.09596252,90.50184631,90.9,93.37969208,94.84715271,96.32962799,97.82411957,98.8553009,99.58107758,99.90296936,100,NaN
57,Dominican Republic,DOM,60.90364811,48.4,64.08583157,65.69658427,67.02274918,68.28418126,69.56731828,70.86872104,72.18262485,76.6,73.788668,76.371045,76.724339,78.599228,80.451235,80.801154,81.994386,91.847523,93.312888,93.900472,94.675536,94.013044,94.211009,95.226213,95.641568,95.912364,100,NaN
58,Ecuador,ECU,77.15070278,77.8602733,78.63436651,79.42119884,80.2138593,74.884987,81.7961881,82.57436953,81.980263,82.360124,84.77674555,85.461392,86.19570248,85.869806,87.7333764,87.718723,89.435963,90.696294,92.140953,91.159456,92.659412,91.161191,92.33289,94.733695,97.054058,96.398108,99.82459848,NaN
