,Country Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
10,Aruba,ABW,94.48880636,94.77049111,95.05217586,95.33386061,95.61554536,95.89723012,96.17891487,96.46059962,96.74228437,97.02396912,97.30565388,97.58733863,97.86902338,97.86902338,97.86902338,97.86902338,97.86902338,97.86902338
11,Australia,AUS,99.73510092,99.73675877,99.73802745,99.75804467,99.77784115,99.7974,99.8167375,99.8358516,99.85475008,99.87343233,99.89190265,99.91016667,99.92822592,99.9460847,99.95981995,99.96870195,99.96870195,99.96870195
12,Austria,AUT,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
13,Azerbaijan,AZE,76.43698111,76.98462661,77.52885926,78.07034353,78.60874335,79.14375334,79.67569422,80.20485603,80.73065103,81.25337692,81.77597093,82.29817987,82.81975052,83.3404297,83.85996419,84.37787214,84.37787214,84.37787214
14,"Bahamas, The",BHS,98.38362672,98.33430364,98.28498056,98.23565748,98.18633439,98.13701131,98.08768823,98.03836515,97.98904206,97.93971898,97.8903959,97.84107282,97.79174973,97.79174973,97.79174973,97.79174973,97.79174973,97.79174973
15,Bahrain,BHR,99.89794432,99.90803774,99.91813116,99.92822458,99.938318,99.94841141,99.95850483,99.96859825,99.97869167,99.98878509,99.99887851,100,100,100,100,100,100,100
16,Bangladesh,BGD,94.64647274,94.8376997,95.03263929,95.22529768,95.41556015,95.60328875,95.78850947,95.97111381,96.15100161,96.32808103,96.50233194,96.67364136,96.84181108,97.00676903,97.16855332,97.32714248,97.32714248,97.32714248
17,Barbados,BRB,98.54368365,98.51421824,98.48475282,98.4552874,98.42582199,98.39635657,98.36689116,98.33742574,98.30796033,98.27849491,98.24902949,98.21956408,98.19009866,98.16063325,98.13116783,98.13116783,98.13116783,98.13116783
18,Belarus,BLR,97.9032296,97.89838297,97.89357631,97.88881961,97.89738406,97.90615878,97.91514122,97.92432878,97.93370977,97.943309,97.95308772,97.96312196,97.97338863,97.98389087,97.99461491,98.0055556,98.0055556,98.0055556
19,Belgium,BEL,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
20,Belize,BLZ,87.57212206,88.20157451,88.83223567,89.46397836,90.09686724,90.73101467,91.36624575,92.00261878,92.64013375,93.27883841,93.91868079,94.56070493,95.20471719,95.85061092,96.49823385,97.12880364,97.12880364,97.12880364
21,Benin,BEN,60.06423832,60.54256435,61.01786428,61.49176188,61.96433885,62.43520342,62.90420609,63.37119735,63.83623672,64.29875109,64.7590035,65.2166354,65.67149728,66.1232583,66.57196136,67.0172867,67.0172867,67.0172867
22,Bermuda,BMU,99.99414291,99.98655933,99.97897576,99.97139218,99.96380861,99.95622504,99.94864146,99.94105789,99.93347431,99.92589074,99.91830717,99.91072359,99.90314002,99.90314002,99.90314002,99.90314002,99.90314002,99.90314002
23,Bhutan,BTN,80.96643014,82.39172138,83.78782673,85.15339336,86.48721556,87.78186534,88.99610575,90.18727322,91.35488459,92.49825692,93.61715299,94.71113796,95.77944789,96.82251111,97.55925857,97.55866085,97.55866085,97.55866085
24,Bolivia,BOL,78.81528616,79.85743208,80.88525947,81.89729588,82.89375936,83.87451798,84.84050421,85.79125072,86.72701915,87.64836294,88.55522287,89.44786056,90.32678585,91.19174946,92.04327575,92.88162636,92.88162636,92.88162636
