,Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
10,Aruba,ABW,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24271.94042,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,Australia,AUS,19306.552969999997,19394.616169999998,19178.09101,19982.69053,20961.1859,21783.24868,21794.992580000002,22876.993440000002,23621.37946,24763.08289,26020.20794,26162.39444,26690.66004,26968.959939999997,27372.123910000002,27397.55687,27827.001239999998,28507.901910000004,28431.414839999998,29266.600660000004,29794.538460000003,30309.76097,30797.996389999997,29736.698630000003,30763.445860000003,31938.6162,32707.6722,33044.57542,34386.25336,35121.21269,35827.09672,35240.582539999996,34967.517719999996,36033.63588,37098.798780000005,38078.90395,39065.924380000004,40156.33525,41504.4959,43087.44672,44223.591239999994,44473.408610000006,45626.62203,46449.84519,47817.89923,48702.73469,49418.68632,50952.467039999996,51788.44015,51651.22326,51874.080480000004,52372.154539999996,53315.02992,53732.003970000005,54293.7942,54800.3664,55478.57729,NaN
12,Austria,AUT,13031.03159,13677.46421,13953.95,14438.35666,15220.81972,15648.5267,16416.0054,16783.88969,17443.704980000002,18474.54001,19598.931630000003,20509.68276,21656.66245,22590.26079,23440.86839,23417.65481,24533.12432,25769.50739,25736.050769999998,27160.91379,27631.17178,27521.02831,28054.419189999997,28935.22361,28951.88265,29661.36755,30324.714930000002,30716.82722,31684.3295,32767.96581,33932.39114,34751.514339999994,35090.72121,34985.88625,35688.66932,36584.78068,37411.651439999994,38193.28185,39509.573039999996,40848.40854,42122.935999999994,42528.70141,43020.73989,43135.404239999996,44028.52956,44665.70891,45934.5352,47444.021510000006,48027.52407,46082.05075,46858.04327,48065.31671,48172.2377,47903.89625,47949.16355,47958.42522,48106.49447,NaN
13,Azerbaijan,AZE,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3118.5465870000003,3049.0159949999997,2324.452977,1760.5546510000001,1394.744209,1216.077917,1219.509349,1277.854124,1392.3611939999998,1482.329773,1633.394435,1781.246395,1955.41315,2158.007171,2357.3960260000003,2949.442818,3923.6581539999997,4851.176909000001,5262.101356,5639.001689,5842.805784,5770.969703,5820.079847,6078.320649,6122.9804890000005,6117.030862,5861.511962,NaN
14,"Bahamas, The",BHS,13895.473559999999,14632.26375,15364.10725,16147.539019999998,16993.81322,17913.893509999998,18696.41303,19652.664119999998,20499.38984,21576.022409999998,19743.2904,19544.06189,18438.869619999998,19435.45621,15863.56386,13244.57173,13641.004019999998,14571.879069999999,16274.646519999998,20078.45801,20912.755559999998,18565.95545,19370.89384,19629.9391,21941.30625,22543.00428,22521.6356,22787.65679,22919.79838,24046.95056,23248.893669999998,21868.8773,20635.69851,20315.17827,20595.631380000003,21170.95313,21782.099159999998,21984.94658,22776.60968,24111.85775,24748.307969999998,24958.65497,25134.38113,24298.62379,23997.84777,24305.99067,24429.44575,24312.40063,23314.994169999998,21951.14664,21921.55906,21710.58999,22050.20215,21622.86559,21078.68047,20184.73569,19991.092230000002,NaN
15,Bahrain,BHR,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21184.98284,19295.585219999997,17290.818069999998,17906.01635,18304.5727,16926.37474,16571.426669999997,17663.46571,18240.56619,17702.37559,17934.74305,19407.44365,20178.46516,22217.91332,21623.01568,21910.23988,22220.68291,22281.79511,22634.888469999998,22760.98699,22955.09349,22416.08185,22038.3312,22058.76333,22144.47339,22066.07113,21796.01514,21838.074569999997,21563.65067,20797.00522,20722.103890000002,20514.756390000002,20921.19971,21799.652169999998,22390.68285,22436.20753,NaN,NaN
16,Bangladesh,BGD,370.5941716,382.0047722,391.4891838,378.5599524,407.6331236,401.533416,398.7081568,378.4483267,401.1804457,394.3095963,406.0307092,375.82658100000003,317.7006037,323.0395869,347.9806292,327.1009505,337.602686,337.7132941,351.7077109,358.34779039999995,351.3761042,366.66630739999994,364.5382182,368.69402599999995,376.2076611,378.487458,383.8124797,387.7558742,386.7755991,387.6728688,399.4839409,403.753799,416.1805241,426.30944129999995,433.41234410000004,445.91891730000003,456.23771009999996,466.77254419999997,480.8688331,493.2552199,509.29343470000003,525.0721106999999,535.2467234000001,550.8628057,570.3367360000001,598.6174259,630.04818,666.4014472,698.564892,725.76626,757.6717572000001,797.4116803999999,839.5136872000002,879.5819661,922.161128,971.6419880000001,1029.578212,NaN
17,Barbados,BRB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13830.01191,13244.80796,12446.54903,12502.96485,12708.29427,12919.2229,13381.9875,13963.64969,14431.621680000002,14426.31791,15017.0768,14616.181709999999,14688.781359999999,14964.71605,15128.94586,15676.109190000001,16502.69007,16726.27987,16721.7331,15979.68093,15959.02979,15972.76764,15961.701819999998,15910.93486,15864.6198,15961.20015,16242.76997,NaN
18,Belarus,BLR,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3102.4627760000003,3063.729773,2763.647398,2547.873988,2252.412535,2024.694821,2088.351545,2336.311554,2544.6347170000004,2642.24242,2808.693996,2956.540618,3125.538912,3369.1721079999998,3780.636232,4164.361949,4608.9322409999995,5028.319883,5560.381904,5583.938524,6029.3968,6375.345039,6491.673382,6557.106572,6664.097249,6398.689735,6221.372593,NaN
19,Belgium,BEL,13193.31494,13804.19935,14465.97743,14983.042609999999,15874.404690000001,16291.01966,16692.01699,17241.447369999998,17894.0438,19026.42965,20070.54797,20832.524080000003,21850.00287,23171.37936,24153.099159999998,23609.9371,24900.01711,25025.00988,25712.19412,26290.49418,27428.611889999996,27352.7296,27522.95363,27610.97542,28292.3926,28751.1591,29264.789910000003,29914.315469999998,31227.79175,32193.979310000002,33105.15524,33586.95831,33962.98639,33505.1655,34479.93755,35228.34192,35719.81023,36955.6362,37605.22806,38856.0635,40170.41893,40357.370760000005,40892.21772,41036.79826,42344.69483,42994.36365,43782.13955,44960.79786,44956.36733,43591.27188,44380.17663,44556.036810000005,44337.57677,44209.74335,44702.316889999995,45068.25428,45469.71083,NaN
